2024,05,06,月,Start time not available,劇場版『ウマ娘 プリティーダービー 新時代の扉』完成披露プレミア,!_東京都内某所
2012,10,21,日,17:00,“ASCII MEDIA WORKS 20th Anniversary DENGEKI MUSIC LIVE!!” SWEET STAGE,幕張メッセ イベントホール

2012,09,16,日,18:30,織田信奈の野望感謝祭“宴（うたげ）”～おかえり、サル！～,科学技術館サイエンスホール
2012,08,19,日,13:30,アクエリオンEVOL　神話的サマフェス～夏ってLOVE MAX♪～,Zepp Tokyo(閉館)
2012,08,19,日,19:00,アクエリオンEVOL　神話的サマフェス第2章～LOVE MAXな夕涼み☆～,Zepp Tokyo(閉館)

2012,07,29,日,11:00,「MF文庫J　夏の学園祭」内「ゲーム『この部室は帰宅しない部が占拠しました。』ステージ」,秋葉原UDX2F アキバ・スクエア(AKIBA SQUARE)
2012,07,08,日,14:00,TVアニメ織田信奈の野望 放送直前！織田家大決起集会！～みんな信奈のサルになれ！～,新宿明治安田生命ホール(閉館)
2012,04,01,日,12:55,アニメコンテンツエキスポ2012 WHITEステージ Program4 「カンピオーネ」,幕張メッセ 国際展示場ホール
2012,02,19,日,16:00,ニッポン放送 ミュ～コミ＋プラスpresents『アニメ紅白歌合戦』,東京国際フォーラム ホールA

2010,03,13,土,13:00,PSP「ファンタシースターポータブル2」  「全国ファン感謝祭2010 ～リトルウィンググランプリ～」決勝大会,秋葉原UDX2F アキバ・スクエア(AKIBA SQUARE)
2010,01,16,土,13:00,PSP「ファンタシースターポータブル2」  「全国ファン感謝祭2010 ～リトルウィンググランプリ～」東京予選大会,TFTホール500
2009,11,03,火,12:00,pure2 Vol.55発売記念イベント,書泉ブックマート(閉店)
2009,10,17,土,Start time not available,萌え萌え2次大戦（略）2［chu～♪］ コンシューマ化記念プライベートイベント,Space3021 秋葉原駅前
2009,10,03,土,19:00,アイチョ祭-みんな集まってチョウダイよ！- 夜の部,赤坂GRAFFITI(グラフィティ)(閉店)
2009,10,03,土,13:30,アイチョ祭-みんな集まってチョウダイよ！- 昼の部,赤坂GRAFFITI(グラフィティ)(閉店)
2009,09,26,土,16:00,「東京ゲームショウ2009」セガブース内　ネット番組「Fun！Fan！ファンタシースターポータブル2」公開収録,幕張メッセ 国際展示場ホール
2009,08,31,月,19:00,ミクフェス 09’（夏）～初音ミク 2nd Anniversary～,新木場STUDIO COAST (USEN STUDIO COAST)(閉館)

2009,06,27,土,13:00,週刊ゲンスイpresents「元帥で遊ぼう」,LOFT/PLUS ONE(ロフトプラスワン)
2009,04,19,日,13:00,のもぴ～プラスティックラジオ・モデリングライブ ～番組を聞き逃した人にも捧ぐ～,LOFT/PLUS ONE(ロフトプラスワン)
2009,03,14,土,10:30,「やっぱ遊びな祭09」内「39 secrets：初音ミク -Project DIVA-（仮称） 39のひみつ」,TFTホール(全館)

2011,06,26,日,16:00,ロウきゅーぶ！＆神様のメモ帳 TVアニメ化記念スペシャルイベント,開場 - 開演 16:00 終演 18:00
2011,04,24,日,11:00,ファンタシースターポータブル２インフィニティ全国ファン感謝祭2011 決勝会場,秋葉原UDX2F アキバ・スクエア(AKIBA SQUARE)
2011,02,11,金,11:00,ファンタシースターポータブル2インフィニティ全国ファン感謝祭2011 大阪会場,大阪南港ATCホール
2011,01,22,土,13:00,ANIME FES.“VS” Presented by BANDAI VISUAL「＜バトル3＞」初日舞台挨拶,新宿バルト9
2010,11,16,火,19:00,AF.“VS”トークバトル at .hack//Quantum,LOFT/PLUS ONE(ロフトプラスワン)
2010,10,15,金,19:00,小倉唯「.hack//Quantum 握手券お渡し会＆握手会」,新宿バルト9

2011,09,24,土,13:30,ゆいかおり1stアルバム「Puppy」キャンペーンイベント AKIHABARAゲーマーズ本店,AKIHABARAゲーマーズ本店
2011,11,06,日,12:30,MAG杯2011 in SOUDAI,早稲田大学 早稲田キャンパス15号館
2011,12,23,金,14:45,「プレメモフェスタ 2011 WINTER」内「ムービック×エンスカイTCGラインナップ発表会」,秋葉原UDX4F UDXシアター
2011,8,28,日,16:00,Animelo Summer Live 2011 -rainbow- 2日目,さいたまスーパーアリーナ
